
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                 Name                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  -----------------------------------
     54.4       2303864337       3975   579588.5     6960.0      3900  39891883    3099973.2  cudaMemcpyAsync                    
     19.2        814550579      58595    13901.4     4440.0      1190  32507144     362399.9  cudaLaunchKernel                   
      7.8        330753818         44  7517132.2  4800087.0     85719  64457195   10542027.9  cuLibraryLoadData                  
      4.2        177137378        188   942220.1   103179.0      4909  17909634    2367539.4  cudaMalloc                         
      3.2        136683344        176   776609.9   492085.0      2800  19380978    1855136.3  cudaFree                           
      2.1         87929368         46  1911508.0  1876075.0     26130   9568575    2016462.7  cuLibraryUnload                    
      1.9         79328568       9924     7993.6     4759.0      1420  20976591     212088.8  cudaLaunchKernelExC                
      1.7         70017169       3455    20265.5    17070.0     12550    183048      16181.5  cudaGraphLaunch                    
      0.9         37846517        439    86210.7    66569.0     37730    772091      73710.5  cudaGraphInstantiateWithFlags      
      0.8         34246946       9708     3527.7     3450.0      2170     14860        696.1  cudaMemsetAsync                    
      0.8         32678114       5070     6445.4     7400.0      1320     42079       2801.6  cuLaunchKernel                     
      0.6         25412057        540    47059.4    12070.0      1870   3438783     243908.9  cudaDeviceSynchronize              
      0.4         15120757       1980     7636.7     9099.5      1750     40390       3288.5  cuLaunchKernelEx                   
      0.2          9777400      58595      166.9      140.0        90     13739        133.5  cuKernelGetName                    
      0.2          9424194        439    21467.4    15130.0     10730   1592833      78957.9  cudaGraphExecDestroy               
      0.2          8560561         95    90111.2     1190.0       310   2848268     491778.7  cuLibraryGetKernel                 
      0.2          8438368        305    27666.8    38789.0      3130    346047      29599.6  cudaStreamSynchronize              
      0.2          7315173       5095     1435.8      180.0        80   3250645      60172.8  cuGetProcAddress_v2                
      0.2          7099421       2993     2372.0     1740.0       629     26540       2062.1  cudaEventQuery                     
      0.1          4841173       5070      954.9      730.0       460   1001409      14074.3  cuKernelGetFunction                
      0.1          4829975       6833      706.9      740.0       239     15290        441.2  cudaStreamIsCapturing              
      0.1          4271619       2584     1653.1     1640.0       550     19570       1224.2  cudaEventRecordWithFlags           
      0.1          3723950        260    14322.9     1910.0      1660    379096      50561.2  cudaStreamCreateWithPriority       
      0.1          3662641        102    35908.2     3870.0      3530    747162     140708.5  cudaEventSynchronize               
      0.1          3543531        145    24438.1    11780.0      5000   1317945     108557.2  cudaHostAlloc                      
      0.1          2390344       3457      691.5      700.0       310      9640        279.8  cudaStreamGetCaptureInfo           
