conversation_id	conversation_idx	isl_agg_r8	isl_disagg_r8	isl_match	osl_agg_r8	osl_disagg_r8	cached_agg_r8	cached_disagg_r8	cache_ratio_agg_r8	cache_ratio_disagg_r8	cache_blocks_delta	warm_prefix	unique_agg_r8	unique_disagg_r8	ttft_agg_r8_ms	ttft_disagg_r8_ms	ttft_delta_ms	itl_agg_r8_ms	itl_disagg_r8_ms
aa-rwlt-coding-agent-010	0	10260	10263	false	105	70	0	0	0.0000	0.0000	0	false	10260	10263	202.326	132.957	-69.369	2.229	2.639
aa-rwlt-coding-agent-010	1	18551	18554	false	87	120	0	0	0.0000	0.0000	0	false	18551	18554	298.182	240.835	-57.347	2.435	2.124
aa-rwlt-coding-agent-010	2	18716	18719	false	51	49	0	0	0.0000	0.0000	0	false	18716	18719	297.406	242.897	-54.510	0.004	2.657
aa-rwlt-coding-agent-010	3	19031	19034	false	77	75	0	0	0.0000	0.0000	0	false	19031	19034	304.418	242.105	-62.313	1.792	2.146
aa-rwlt-coding-agent-010	4	20861	20864	false	58	58	0	0	0.0000	0.0000	0	false	20861	20864	346.343	290.802	-55.541	0.560	2.024
aa-rwlt-coding-agent-010	5	22210	22213	false	67	61	0	0	0.0000	0.0000	0	false	22210	22213	369.626	313.078	-56.548		2.025
aa-rwlt-coding-agent-010	6	22317	22320	false	51	51	0	0	0.0000	0.0000	0	false	22317	22320	372.419	317.998	-54.421	0.004	1.947
aa-rwlt-coding-agent-010	7	23712	23715	false	88	72	0	0	0.0000	0.0000	0	false	23712	23715	404.939	343.692	-61.247	1.997	2.219
aa-rwlt-coding-agent-010	8	23811	23814	false	49	53	0	0	0.0000	0.0000	0	false	23811	23814	391.043	343.367	-47.676	0.004	1.908
aa-rwlt-coding-agent-010	9	25724	25727	false	79	73	0	0	0.0000	0.0000	0	false	25724	25727	423.696	368.963	-54.732	1.078	2.210
aa-rwlt-coding-agent-010	10	25896	25899	false	50	56	0	0	0.0000	0.0000	0	false	25896	25899	423.109	374.180	-48.929	0.004	2.038
