
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v3/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v3/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v3/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

                               Range                                 Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 -----------------------------------------------------------------  -------  --------------------  ---------------------  ---------------  -------------  -------------  -------------  -------------  ----------------  -------------  -----------  -------------  -------------
 TensorRT-LLM:_forward_step                                         PushPop            4738396208            11765310507              215     22039052.1      5640894.0        4497233     1770958048       125764519.6          28490        132.5            0.0            0.0
 TensorRT-LLM:_sample_async                                         PushPop             164907332              407999409              102      1616738.5       299491.0         284387      117179469        11576222.7          10393        101.9            0.0            1.0
 TensorRT-LLM:sample_async                                          PushPop             164907332              405087889              102      1616738.5       299491.0         284387      117179469        11576222.7          10393        101.9            1.0            4.1
 TensorRT-LLM:_process_requests                                     PushPop             128925397              303069117              102      1263974.5       198834.5         192610      100510357         9929732.8           7038         69.0            2.0            1.0
 TensorRT-LLM:sample_batched_by_strategy                            PushPop             125985973              264590743              102      1235156.6       187698.0         186466      100005391         9880437.3           6732         66.0            3.0            0.0
 TensorRT-LLM:_prepare_inputs                                       PushPop             110226054              173476318              308       357876.8       317491.5         179074         695304           89379.7           2329          7.6            0.3            0.0
 TensorRT-LLM:maybe_create_beam_histories                           PushPop              18847951               38551105              102       184783.8        35681.0          27168       14121852         1394164.4            918          9.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs    PushPop              13971995               14283856                2      6985997.5      6985997.5        6687979        7284016          421461.8            160         80.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs    PushPop               6728490                6751232                1      6728490.0      6728490.0        6728490        6728490               0.0             79         79.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs   PushPop               6294470                6284857                1      6294470.0      6294470.0        6294470        6294470               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs   PushPop               5958819                5947330                1      5958819.0      5958819.0        5958819        5958819               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs   PushPop               5856066                5845671                1      5856066.0      5856066.0        5856066        5856066               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs   PushPop               5813473                5795832                1      5813473.0      5813473.0        5813473        5813473               0.0             79         79.0            0.0            2.0
 TensorRT-LLM:_write_finish_reasons                                 PushPop               5347836               32043882              102        52429.8        32928.0          32737         534822           76298.9           1530         15.0            2.0            0.0
 TensorRT-LLM:setup_sampler_step                                    PushPop               2459035                3097039                7       351290.7       307748.0         281891         652135          133419.0             91         13.0            2.0            3.0
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop               1461742                4708470              218         6705.2         3264.0           3040          57473            5527.9            436          2.0            0.0            0.0
 TensorRT-LLM:prepare_beam_search                                   PushPop               1167820                1368926                7       166831.4       147554.0         135425         296483           57976.2             56          8.0            4.0            8.0
 TensorRT-LLM:setup.prepare_beam_search                             PushPop               1167820                1389906                7       166831.4       147554.0         135425         296483           57976.2             56          8.0            3.0            1.0
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop                947784                2905099              204         4646.0         4128.0           3936          58209            3990.0            408          2.0            0.0            0.0
 TensorRT-LLM:update_original_tokens                                PushPop                904076                8435731              102         8863.5         6400.0           6240          46849            9197.2            306          3.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs    PushPop                687912                 974601                1       687912.0       687912.0         687912         687912               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 66: 0 ctx reqs, 1 gen reqs   PushPop                676712                 921880                1       676712.0       676712.0         676712         676712               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 100: 0 ctx reqs, 1 gen reqs  PushPop                665992                 946340                1       665992.0       665992.0         665992         665992               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 92: 0 ctx reqs, 1 gen reqs   PushPop                662216                 952821                1       662216.0       662216.0         662216         662216               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 59: 0 ctx reqs, 1 gen reqs   PushPop                645671                 918610                1       645671.0       645671.0         645671         645671               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 3: 0 ctx reqs, 1 gen reqs    PushPop                641287                 931361                1       641287.0       641287.0         641287         641287               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 60: 0 ctx reqs, 1 gen reqs   PushPop                635335                 882581                1       635335.0       635335.0         635335         635335               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 35: 0 ctx reqs, 1 gen reqs   PushPop                627623                 870991                1       627623.0       627623.0         627623         627623               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 6: 0 ctx reqs, 1 gen reqs    PushPop                624775                 904721                1       624775.0       624775.0         624775         624775               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 90: 0 ctx reqs, 1 gen reqs   PushPop                620679                 908930                1       620679.0       620679.0         620679         620679               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 58: 0 ctx reqs, 1 gen reqs   PushPop                618855                 901561                1       618855.0       618855.0         618855         618855               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 54: 0 ctx reqs, 1 gen reqs   PushPop                614951                 862561                1       614951.0       614951.0         614951         614951               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 10: 0 ctx reqs, 1 gen reqs   PushPop                613639                 912401                1       613639.0       613639.0         613639         613639               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 22: 0 ctx reqs, 1 gen reqs   PushPop                613255                 879471                1       613255.0       613255.0         613255         613255               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 43: 0 ctx reqs, 1 gen reqs   PushPop                610119                 848312                1       610119.0       610119.0         610119         610119               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 45: 0 ctx reqs, 1 gen reqs   PushPop                608423                 851141                1       608423.0       608423.0         608423         608423               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs    PushPop                600103                 895551                1       600103.0       600103.0         600103         600103               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 102: 0 ctx reqs, 1 gen reqs  PushPop                594727                 844312                1       594727.0       594727.0         594727         594727               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 67: 0 ctx reqs, 1 gen reqs   PushPop                592262                 835911                1       592262.0       592262.0         592262         592262               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 44: 0 ctx reqs, 1 gen reqs   PushPop                591142                 824481                1       591142.0       591142.0         591142         591142               0.0             13         13.0            0.0            1.0
