
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_decode_loop_v1/pyt_beam10_decode.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_decode_loop_v1/pyt_beam10_decode.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_decode_loop_v1/pyt_beam10_decode.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     10.1         67490815        726   92962.6   98081.0      2496    106593      19726.7  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      9.8         65895778       4752   13867.0   13632.0      4992     24576       1275.1  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      9.7         65192962       1856   35125.5   37473.0     14465    184930      23001.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      8.0         53859130       9504    5667.0    5664.0      3904      7105        130.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      8.0         53518543        579   92432.7   66145.0      6816    189762      76586.5  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      6.5         43740123       2024   21610.7   18273.0     13856     45408       8457.8  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      6.3         41966809        836   50199.5   40000.0     37664     76513      15647.5  ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_64x3_tn                                          
      5.5         36866010       4752    7758.0    7808.0      3232      8096        313.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      3.7         24731377        308   80296.7   80193.0     75713     98945       1688.2  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn                                          
      3.0         19960188        264   75606.8   75568.5     73089     78177        913.6  ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn                                         
      2.8         18490329       4994    3702.5    3520.0      2432      5184        935.5  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
      2.7         18174355       8480    2143.2    1888.0      1664      4288        594.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      2.4         16085806       4752    3385.1    3392.0      1696      3425        113.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10…
      2.0         13448691       4994    2693.0    2688.0      2368      3744        224.0  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
      1.8         11831462       4994    2369.1    2304.0      2240      3072        142.1  void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
      1.6         10704055       9504    1126.3    1120.0      1088      1344         15.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      1.5         10168404       2008    5063.9    5248.0      1568      5504        832.2  at::native::mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)                       
      1.4          9593371        132   72677.1   72512.5     71265     75393        907.6  ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn                                          
      1.2          8366084       4016    2083.2    1952.0      1664      3424        441.6  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.9          6327419       3036    2084.1    2016.0      1696      3008        259.7  void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsi…
      0.9          5916003        308   19207.8   19232.0     17216     24256        584.0  ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn                                           
      0.7          4516459       2008    2249.2    2272.0      1760      2496        109.1  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned…
      0.6          4334161        502    8633.8    8640.0      8096      8928        130.6  void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
      0.6          4160811       2008    2072.1    2048.0      1824      2176         61.4  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, (int)1>(at::cud…
      0.6          3964431       2745    1444.2    1344.0      1216      1889        184.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.5          3440738         44   78198.6   74225.0     19744    156962      52068.2  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
      0.4          2425075       1004    2415.4    2400.0      2112      2561        103.0  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::s…
      0.3          2297146       1518    1513.3    1472.0      1120      2048        295.6  silu_and_mul_kernel                                                                                 
      0.3          2062485        502    4108.5    4128.0      3136      4352        166.6  void at::native::mbtopk::gatherTopK<float, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const…
      0.3          1839695        977    1883.0    1664.0      1280      2592        572.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.3          1825746        502    3636.9    3648.0      3456      3808         30.3  void at::native::bitonicSortKVInPlace<(int)-2, (int)-1, (int)16, (int)16, float, long, at::native::…
      0.3          1699569        176    9656.6   10000.0      7008     13120       2411.5  void tensorrt_llm::_v1::kernels::mmha::masked_multihead_attention_kernel<__nv_bfloat16, __nv_bfloat…
      0.2          1588499        502    3164.3    3232.0      2432      3457        229.4  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.2          1503789        836    1798.8    1760.0      1376      2400        320.3  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.2          1501710       1004    1495.7    1472.0      1216      1888        144.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2          1499405        950    1578.3    1616.0      1376      1984        177.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2          1310868       1004    1305.6    1312.0      1248      1376         28.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at:…
      0.2          1243275       1004    1238.3    1232.0      1120      1440         84.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
      0.2          1231048        502    2452.3    2496.0      1632      2624        184.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2          1196782        556    2152.5    2208.0      1408      2272        146.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl…
      0.2          1179592       1004    1174.9    1216.0      1088      1376         70.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, bool, at…
      0.2          1163722        502    2318.2    2304.0      2048      2464         31.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
      0.2          1112266        502    2215.7    2240.0      1504      2273        158.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2          1017771        502    2027.4    2048.0      1632      2080         33.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.1           956266       1026     932.0     928.0       896      1312         25.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.1           936969        691    1356.0    1344.0      1216      1856        111.7  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_fill_kernel_impl…
      0.1           932328        502    1857.2    1856.0      1632      1985         32.4  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.1           926339       1004     922.6     928.0       896       960         18.8  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail::cub::Reduc…
      0.1           878029        640    1371.9    1408.0      1088      1728         98.2  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(…
      0.1           868969        881     986.3     960.0       896      1536        109.8  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…
      0.1           866886        502    1726.9    1728.0      1472      1792         29.4  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.1           853510        502    1700.2    1696.0      1472      1792         30.1  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.1           767052        227    3379.1    3392.0      3136      3584         72.4  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1           746789        502    1487.6    1504.0      1184      1537         70.2  void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(T1 *, short *, unsigned int, unsig…
      0.1           703047        502    1400.5    1408.0      1312      1536         26.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at:…
      0.1           689095        502    1372.7    1376.0      1312      1408         17.9  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1           688773        502    1372.1    1376.0      1184      1408         21.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1           675021        502    1344.7    1344.0      1280      1408         22.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1           670083        502    1334.8    1344.0      1312      1376         16.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1           621991        502    1239.0    1248.0      1216      1280         14.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at:…
      0.1           606786        502    1208.7    1216.0      1088      1344         23.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array…
      0.1           588585        505    1165.5    1152.0      1120      1185         15.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.1           577541        502    1150.5    1152.0      1120      1185         13.3  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
      0.1           563682        235    2398.6    2400.0      2208      2880         86.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1           535913        551     972.6     960.0       896      1440         82.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.1           534662        502    1065.1    1056.0      1024      1088         14.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      0.1           473926        504     940.3     928.0       896       961         15.7  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.1           470150        503     934.7     928.0       896       961         14.8  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.1           450437        502     897.3     896.0       864       929         12.7  void at::native::mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)                             
      0.1           381283        238    1602.0    1600.0      1408      1760         52.8  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
      0.0           306722        238    1288.7    1280.0      1120      1408         41.7  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
      0.0           221410        238     930.3     928.0       896      1088         18.1  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
      0.0           159234         69    2307.7    2304.0      2080      2592         96.9  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0           137121         69    1987.3    1952.0      1696      2336        182.8  void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int…
      0.0           116128         69    1683.0    1664.0      1376      1824         62.4  void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<long, long, long, at::native…
      0.0           114753         69    1663.1    1664.0      1376      1792         63.8  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<long>, std::array<char *, …
      0.0           105920         69    1535.1    1536.0      1344      1664         70.5  void at::native::unrolled_elementwise_kernel<at::native::AUnaryFunctor<long, long, long, at::native…
      0.0            88961         69    1289.3    1248.0      1216      1440         67.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      0.0            85857         52    1651.1    1616.0      1280      2240        224.7  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0            83264         69    1206.7    1216.0      1184      1248         16.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::Tens…
      0.0            80416         25    3216.6    3360.0      1824      4992        964.1  void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2…
      0.0            68544         69     993.4     992.0       960      1024         11.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std:…
      0.0            32736         27    1212.4    1216.0      1184      1248         16.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at:…
      0.0            29664         22    1348.4    1344.0      1312      1536         46.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::Tenso…
      0.0            26560         22    1207.3    1216.0      1152      1312         35.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0            20960         22     952.7     928.0       896      1536        131.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned int>, std::…
